transaction_id,account_id,merchant_id,transaction_date,amount,transaction_type
TXN87205824,ACC620878,MERCH47,2025-12-27 00:00:39.526003,56.96,deposit
TXN50963928,ACC349833,MERCH48,2025-03-29 00:00:39.526003,43.23,deposit
TXN37152630,ACC231186,MERCH8,2025-12-25 00:00:39.526003,45.84,withdrawal
TXN36249952,ACC349833,MERCH19,2025-11-19 00:00:39.526003,81.19,purchase
TXN82092833,ACC204563,MERCH30,2025-03-04 00:00:39.526003,67.24,purchase
TXN62367413,ACC101967,MERCH6,2025-09-14 00:00:39.526003,24.59,purchase
TXN60513343,ACC488110,MERCH27,2025-08-01 00:00:39.526003,113.79,purchase
TXN62080448,ACC564662,MERCH41,2025-04-22 00:00:39.526003,49.89,withdrawal
TXN31528477,ACC743031,MERCH42,2025-12-15 00:00:39.526003,64.07,deposit
TXN22695508,ACC128013,MERCH21,2025-10-13 00:00:39.526003,70.95,deposit
TXN90523851,ACC860534,MERCH29,2025-07-06 00:00:39.526003,85.83,deposit
TXN16171081,ACC122662,MERCH31,2025-08-22 00:00:39.526003,68.86,withdrawal
TXN31849583,ACC260816,MERCH37,2025-09-05 00:00:39.526003,120.77,purchase
TXN93567446,ACC161120,MERCH16,2025-04-21 00:00:39.526003,57.98,withdrawal
TXN61547526,ACC157464,MERCH10,2025-09-26 00:00:39.526003,115.76,withdrawal
TXN14104948,ACC666627,MERCH24,2025-03-01 00:00:39.526003,3.91,purchase
TXN98084652,ACC643081,MERCH42,2025-02-01 00:00:39.526003,75.08,purchase
TXN40233537,ACC925104,MERCH36,2025-02-25 00:00:39.526003,48.05,withdrawal
TXN13741136,ACC435181,MERCH24,2025-12-18 00:00:39.526003,32.76,withdrawal
TXN14932385,ACC332514,MERCH14,2025-06-18 00:00:39.526003,40.46,deposit
TXN21586705,ACC694238,MERCH17,2025-02-14 00:00:39.526003,65.6,purchase
TXN39560790,ACC343205,MERCH2,2025-06-02 00:00:39.526003,53.0,withdrawal
TXN49211285,ACC703064,MERCH36,2025-10-14 00:00:39.526003,29.92,withdrawal
TXN98373479,ACC161045,MERCH2,2025-03-24 00:00:39.526003,72.53,purchase
TXN70967082,ACC395208,MERCH42,2025-11-03 00:00:39.526003,46.13,withdrawal
TXN67291772,ACC856419,MERCH8,2025-06-16 00:00:39.526003,114.51,withdrawal
TXN64264326,ACC466769,MERCH32,2025-07-23 00:00:39.526003,88.09,purchase
TXN30253577,ACC838397,MERCH30,2025-02-18 00:00:39.526003,75.13,purchase
TXN86993350,ACC249105,MERCH14,2025-05-10 00:00:39.526003,42.12,purchase
TXN33652837,ACC380532,MERCH26,2025-08-01 00:00:39.526003,12.92,deposit
TXN85429501,ACC223628,MERCH17,2025-08-16 00:00:39.526003,56.84,deposit
TXN87744228,ACC748332,MERCH50,2025-10-02 00:00:39.526003,55.35,withdrawal
TXN36046931,ACC747352,MERCH30,2025-08-15 00:00:39.526003,29.92,purchase
TXN16003840,ACC955316,MERCH26,2025-09-16 00:00:39.526003,13.75,purchase
TXN57937326,ACC994112,MERCH32,2025-05-27 00:00:39.526003,9.6,deposit
TXN35980104,ACC795976,MERCH43,2026-01-15 00:00:39.526003,6.4,withdrawal
TXN12283720,ACC703104,MERCH32,2025-11-03 00:00:39.526003,37.61,deposit
